,Date,pH,COD (mg/L),BOD (mg/L),TSS,Oil & Grease (mg/L),Ammonical Nitrogen (mg/L)
364,2020-12-30,6.6,304,76,128,16.0,56.1
365,2020-12-31,6.6,304,76,128,16.0,56.1
366,2021-01-01,7.3,1136,310,724,36.0,54.8
367,2021-01-02,7.3,1136,310,724,36.0,54.8
368,2021-01-03,7.3,1136,310,724,36.0,54.8
369,2021-01-04,7.3,1136,310,724,36.0,54.8
370,2021-01-05,7.3,1136,310,724,36.0,54.8
371,2021-01-06,7.3,1136,310,724,36.0,54.8
372,2021-01-07,7.3,1136,310,724,36.0,54.8
373,2021-01-08,7.3,1136,310,724,36.0,54.8
374,2021-01-09,7.3,1136,310,724,36.0,54.8
375,2021-01-10,7.3,1136,310,724,36.0,54.8
376,2021-01-11,7.3,1136,310,724,36.0,54.8
377,2021-01-12,7.3,1136,310,724,36.0,54.8
378,2021-01-13,7.3,1136,310,724,36.0,54.8
379,2021-01-14,7.3,1136,310,724,36.0,54.8
380,2021-01-15,7.3,1136,310,724,36.0,54.8
381,2021-01-16,7.3,1136,310,724,36.0,54.8
382,2021-01-17,7.3,1136,310,724,36.0,54.8
383,2021-01-18,7.3,1136,310,724,36.0,54.8
384,2021-01-19,7.3,1136,310,724,36.0,54.8
385,2021-01-20,7.3,1136,310,724,36.0,54.8
386,2021-01-21,7.3,1136,310,724,36.0,54.8
387,2021-01-22,7.3,1136,310,724,36.0,54.8
388,2021-01-23,7.3,1136,310,724,36.0,54.8
389,2021-01-24,7.3,1136,310,724,36.0,54.8
390,2021-01-25,7.3,1136,310,724,36.0,54.8
391,2021-01-26,7.3,1136,310,724,36.0,54.8
392,2021-01-27,7.3,1136,310,724,36.0,54.8
393,2021-01-28,7.3,1136,310,724,36.0,54.8
394,2021-01-29,7.3,1136,310,724,36.0,54.8
395,2021-01-30,7.3,1136,310,724,36.0,54.8
396,2021-01-31,7.3,1136,310,724,36.0,54.8
397,2021-02-01,7.4,392,102,168,45.2,45.2
398,2021-02-02,7.4,392,102,168,45.2,45.2
399,2021-02-03,7.4,392,102,168,45.2,45.2
400,2021-02-04,7.4,392,102,168,45.2,45.2
401,2021-02-05,7.4,392,102,168,45.2,45.2
402,2021-02-06,7.4,392,102,168,45.2,45.2
403,2021-02-07,7.4,392,102,168,45.2,45.2
404,2021-02-08,7.4,392,102,168,45.2,45.2
405,2021-02-09,7.4,392,102,168,45.2,45.2
406,2021-02-10,7.4,392,102,168,45.2,45.2
407,2021-02-11,7.4,392,102,168,45.2,45.2
408,2021-02-12,7.4,392,102,168,45.2,45.2
409,2021-02-13,7.4,392,102,168,45.2,45.2
410,2021-02-14,7.4,392,102,168,45.2,45.2
411,2021-02-15,7.4,392,102,168,45.2,45.2
412,2021-02-16,7.4,392,102,168,45.2,45.2
413,2021-02-17,7.4,392,102,168,45.2,45.2
414,2021-02-18,7.4,392,102,168,45.2,45.2
415,2021-02-19,7.4,392,102,168,45.2,45.2
416,2021-02-20,7.4,392,102,168,45.2,45.2
417,2021-02-21,7.4,392,102,168,45.2,45.2
418,2021-02-22,7.4,392,102,168,45.2,45.2
419,2021-02-23,7.4,392,102,168,45.2,45.2
420,2021-02-24,7.4,392,102,168,45.2,45.2
421,2021-02-25,7.4,392,102,168,45.2,45.2
422,2021-02-26,7.4,392,102,168,45.2,45.2
423,2021-02-27,7.4,392,102,168,45.2,45.2
424,2021-02-28,7.4,392,102,168,45.2,45.2
425,2021-03-01,7.4,392,102,168,45.2,45.2
426,2021-03-02,7.4,392,102,168,45.2,45.2
427,2021-03-03,7.4,392,102,168,45.2,45.2
428,2021-03-04,7.4,392,102,168,45.2,45.2
429,2021-03-05,7.4,392,102,168,45.2,45.2
430,2021-03-06,7.4,392,102,168,45.2,45.2
431,2021-03-07,7.4,392,102,168,45.2,45.2
432,2021-03-08,7.4,392,102,168,45.2,45.2
433,2021-03-09,7.4,392,102,168,45.2,45.2
434,2021-03-10,7.4,392,102,168,45.2,45.2
435,2021-03-11,7.4,392,102,168,45.2,45.2
436,2021-03-12,7.4,392,102,168,45.2,45.2
437,2021-03-13,7.4,392,102,168,45.2,45.2
438,2021-03-14,7.4,392,102,168,45.2,45.2
439,2021-03-15,7.4,392,102,168,45.2,45.2
440,2021-03-16,7.4,392,102,168,45.2,45.2
441,2021-03-17,7.4,392,102,168,45.2,45.2
442,2021-03-18,7.4,392,102,168,45.2,45.2
443,2021-03-19,7.4,392,102,168,45.2,45.2
444,2021-03-20,7.4,392,102,168,45.2,45.2
445,2021-03-21,7.4,392,102,168,45.2,45.2
446,2021-03-22,7.4,392,102,168,45.2,45.2
447,2021-03-23,7.4,392,102,168,45.2,45.2
448,2021-03-24,7.4,392,102,168,45.2,45.2
449,2021-03-25,7.4,392,102,168,45.2,45.2
450,2021-03-26,7.4,392,102,168,45.2,45.2
451,2021-03-27,7.4,392,102,168,45.2,45.2
452,2021-03-28,7.4,392,102,168,45.2,45.2
453,2021-03-29,7.4,392,102,168,45.2,45.2
454,2021-03-30,7.4,392,102,168,45.2,45.2
455,2021-03-31,7.4,392,102,168,45.2,45.2
456,2021-04-01,7.4,392,102,168,45.2,45.2
457,2021-04-02,7.4,392,102,168,45.2,45.2
458,2021-04-03,7.4,392,102,168,45.2,45.2
459,2021-04-04,7.4,392,102,168,45.2,45.2
460,2021-04-05,7.4,392,102,168,45.2,45.2
461,2021-04-06,7.4,392,102,168,45.2,45.2
462,2021-04-07,7.4,392,102,168,45.2,45.2
463,2021-04-08,7.4,392,102,168,45.2,45.2
464,2021-04-09,7.4,392,102,168,45.2,45.2
465,2021-04-10,7.4,392,102,168,45.2,45.2
466,2021-04-11,7.4,392,102,168,45.2,45.2
467,2021-04-12,7.4,392,102,168,45.2,45.2
468,2021-04-13,7.4,392,102,168,45.2,45.2
469,2021-04-14,7.4,392,102,168,45.2,45.2
470,2021-04-15,7.4,392,102,168,45.2,45.2
471,2021-04-16,7.4,392,102,168,45.2,45.2
472,2021-04-17,7.4,392,102,168,45.2,45.2
473,2021-04-18,7.4,392,102,168,45.2,45.2
474,2021-04-19,7.4,392,102,168,45.2,45.2
475,2021-04-20,7.4,392,102,168,45.2,45.2
476,2021-04-21,7.4,392,102,168,45.2,45.2
477,2021-04-22,7.4,392,102,168,45.2,45.2
478,2021-04-23,7.4,392,102,168,45.2,45.2
479,2021-04-24,7.4,392,102,168,45.2,45.2
480,2021-04-25,7.4,392,102,168,45.2,45.2
481,2021-04-26,7.4,392,102,168,45.2,45.2
482,2021-04-27,7.4,392,102,168,45.2,45.2
483,2021-04-28,7.4,392,102,168,45.2,45.2
484,2021-04-29,7.4,392,102,168,45.2,45.2
485,2021-04-30,7.4,392,102,168,45.2,45.2
486,2021-05-01,7.35,320,195,1042,38.0,30.0
487,2021-05-02,7.35,320,195,1042,38.0,30.0
488,2021-05-03,7.35,320,195,1042,38.0,30.0
489,2021-05-04,7.35,320,195,1042,38.0,30.0
490,2021-05-05,7.35,320,195,1042,38.0,30.0
491,2021-05-06,7.35,320,195,1042,38.0,30.0
492,2021-05-07,7.35,320,195,1042,38.0,30.0
493,2021-05-08,7.35,320,195,1042,38.0,30.0
494,2021-05-09,7.35,320,195,1042,38.0,30.0
495,2021-05-10,7.35,320,195,1042,38.0,30.0
496,2021-05-11,7.35,320,195,1042,38.0,30.0
497,2021-05-12,7.35,320,195,1042,38.0,30.0
498,2021-05-13,7.35,320,195,1042,38.0,30.0
499,2021-05-14,7.35,320,195,1042,38.0,30.0
500,2021-05-15,7.35,320,195,1042,38.0,30.0
501,2021-05-16,7.35,320,195,1042,38.0,30.0
502,2021-05-17,7.35,320,195,1042,38.0,30.0
